Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Self-Employed,Diploma,335254,705,45556,Divorced,Car,Yes
Unemployed,Masters,328516,394,98338,Single,House,No
Business Owner,Diploma,266969,472,116949,Divorced,Medical,No
Self-Employed,Masters,52196,840,123604,Married,House,No
Business Owner,Secondary,274935,346,119538,Single,House,No
Business Owner,Secondary,109899,556,177425,Married,Car,No
Business Owner,Degree,227464,667,195063,Single,Car,Yes
Unemployed,Masters,249976,614,155015,Single,Car,No
Self-Employed,Degree,372982,570,199456,Married,Business,Yes
Self-Employed,Diploma,161350,446,131672,Single,Business,No
Unemployed,Secondary,314311,649,52327,Married,Business,Yes
Business Owner,Masters,87704,510,156153,Divorced,Business,No
Employed,Masters,439271,412,67501,Divorced,Car,No
Unemployed,Diploma,404708,619,79839,Married,Medical,Yes
Unemployed,Diploma,117971,742,129297,Divorced,Medical,No
Employed,Diploma,91349,544,131601,Married,Medical,Yes
Business Owner,Diploma,59817,784,31078,Married,School,Yes
Self-Employed,Diploma,97883,644,91253,Married,School,Yes
Self-Employed,Masters,259298,506,67398,Married,Business,Yes
Unemployed,Masters,259387,660,155011,Single,School,No
Self-Employed,Masters,443842,651,114114,Married,Car,Yes
Business Owner,Diploma,94919,672,5798,Single,School,Yes
Unemployed,Diploma,415955,632,172029,Divorced,Car,No
Unemployed,Diploma,80263,419,185948,Married,Business,No
Business Owner,Diploma,323090,530,27348,Married,Car,Yes
Employed,Secondary,165829,673,162871,Single,House,Yes
Self-Employed,Masters,397607,793,101591,Married,House,Yes
Self-Employed,Degree,253979,783,127685,Single,Car,Yes
Unemployed,Masters,477406,541,176848,Single,Car,No
Business Owner,Masters,55673,444,157380,Married,Medical,No
Employed,Masters,203758,366,92306,Divorced,Business,No
Unemployed,Diploma,171838,300,172039,Divorced,Business,No
Business Owner,Degree,193995,794,294,Married,House,Yes
Employed,Degree,119798,480,143955,Single,Business,Yes
Employed,Degree,267199,616,9817,Married,House,Yes
Self-Employed,Degree,292162,556,2497,Divorced,Business,Yes
Employed,Secondary,195654,750,195755,Divorced,School,Yes
Employed,Diploma,472800,761,168373,Married,Car,Yes
Unemployed,Masters,442238,439,107530,Divorced,Car,No
Business Owner,Secondary,232236,706,67337,Single,Business,Yes
Employed,Masters,404906,465,141265,Single,School,Yes
Self-Employed,Diploma,419673,399,24255,Single,Business,No
Self-Employed,Masters,236075,766,78374,Divorced,Car,Yes
Business Owner,Masters,288466,405,80134,Divorced,Medical,No
Self-Employed,Diploma,195863,512,195237,Divorced,Car,No
Self-Employed,Degree,213559,389,162584,Married,House,Yes
Employed,Masters,371989,673,12255,Divorced,Medical,Yes
Business Owner,Diploma,444123,815,85634,Divorced,Medical,Yes
Self-Employed,Secondary,439900,756,160247,Single,Medical,No
Employed,Diploma,186262,347,138472,Married,School,No
Business Owner,Masters,47521,543,127766,Single,Medical,No
Employed,Masters,497886,455,106066,Married,Car,Yes
Self-Employed,Degree,425234,568,119878,Divorced,School,Yes
Unemployed,Secondary,259419,625,125738,Divorced,House,No
Business Owner,Masters,82866,689,33514,Single,Medical,Yes
Business Owner,Diploma,42214,394,74811,Divorced,Business,No
Business Owner,Masters,138423,510,171050,Divorced,Medical,No
Self-Employed,Diploma,294566,609,39148,Married,School,Yes
Unemployed,Secondary,342000,635,84322,Single,Medical,Yes
Unemployed,Masters,251615,548,125033,Divorced,Car,No
Business Owner,Masters,80386,793,22462,Single,School,Yes
Employed,Secondary,329644,738,99925,Married,School,Yes
Business Owner,Secondary,89567,449,83241,Single,Car,No
Self-Employed,Diploma,310230,332,89078,Married,Business,Yes
Unemployed,Secondary,278263,711,141164,Married,School,No
Employed,Diploma,456829,832,41252,Single,School,Yes
Self-Employed,Masters,232291,823,142198,Single,House,No
Self-Employed,Diploma,379639,600,45022,Divorced,School,Yes
Self-Employed,Degree,350621,661,49693,Divorced,Medical,Yes
Unemployed,Degree,409695,764,3379,Single,House,Yes
Self-Employed,Diploma,33481,712,84430,Married,Car,Yes
Employed,Secondary,168210,833,156145,Married,Business,Yes
Unemployed,Masters,415452,729,148345,Single,House,No
Employed,Diploma,149249,326,145650,Single,House,No
Unemployed,Secondary,431455,419,111083,Single,Business,No
Business Owner,Diploma,107427,634,150372,Single,Business,No
Unemployed,Masters,298477,369,115480,Divorced,Car,No
Self-Employed,Secondary,61252,577,108209,Divorced,Medical,No
Unemployed,Secondary,159256,434,32177,Married,Business,Yes
Employed,Masters,99090,338,155383,Single,Business,No
Employed,Degree,378844,338,97040,Single,Business,Yes
Employed,Diploma,142266,773,51046,Married,Medical,Yes
Business Owner,Secondary,206384,816,1833,Divorced,Medical,Yes
Unemployed,Diploma,297841,486,143434,Divorced,School,No
Business Owner,Masters,430058,543,44503,Single,Car,Yes
Employed,Diploma,428574,830,97026,Divorced,School,Yes
Employed,Secondary,314804,439,163475,Divorced,Business,No
Unemployed,Secondary,419830,497,131828,Married,House,No
Self-Employed,Degree,470031,495,21167,Single,School,Yes
Employed,Masters,389519,461,155674,Divorced,Business,Yes
Unemployed,Degree,239583,468,158952,Married,House,Yes
Business Owner,Secondary,242406,532,165025,Married,Business,No
Employed,Secondary,299237,538,29929,Married,Business,Yes
Self-Employed,Diploma,160991,461,79940,Married,House,Yes
Unemployed,Masters,193079,763,74191,Divorced,Medical,Yes
Business Owner,Diploma,332709,482,56869,Single,Car,Yes
Employed,Secondary,138510,323,43573,Single,Business,No
Self-Employed,Masters,440457,718,5734,Married,Car,Yes
Self-Employed,Diploma,388990,706,108429,Married,House,Yes
Employed,Degree,72111,640,113350,Divorced,House,Yes
Self-Employed,Masters,308341,849,97032,Divorced,School,Yes
Business Owner,Degree,371450,816,2182,Married,House,Yes
Self-Employed,Masters,129132,455,72757,Divorced,Business,No
Unemployed,Masters,187053,309,27957,Divorced,Business,No
Employed,Degree,289627,794,112885,Divorced,School,Yes
Self-Employed,Diploma,376145,354,62547,Single,School,No
Unemployed,Diploma,100967,778,163028,Single,House,No
Business Owner,Degree,348574,510,45779,Divorced,House,Yes
Self-Employed,Diploma,417987,848,53516,Divorced,House,Yes
Unemployed,Secondary,335258,481,22521,Divorced,Car,Yes
Employed,Secondary,395449,332,174938,Divorced,Business,No
Employed,Degree,494129,629,79680,Single,School,Yes
Employed,Diploma,58848,444,126065,Single,Medical,No
Business Owner,Masters,83267,741,158539,Single,School,No
Employed,Degree,175715,437,67063,Divorced,Car,Yes
Self-Employed,Diploma,400420,349,53673,Divorced,House,No
Business Owner,Masters,303703,364,159653,Divorced,House,No
Business Owner,Masters,217963,474,85878,Married,Car,Yes
Business Owner,Secondary,441371,322,23174,Divorced,Business,No
Self-Employed,Secondary,341083,788,71663,Married,Car,Yes
Business Owner,Secondary,487281,614,3186,Single,Medical,Yes
Unemployed,Masters,89467,377,7921,Single,School,No
Unemployed,Masters,451448,478,144548,Divorced,Medical,No
Employed,Masters,357579,750,187285,Single,Medical,Yes
Self-Employed,Masters,66918,341,169794,Single,Business,No
Self-Employed,Diploma,419229,420,69748,Single,School,No
Business Owner,Masters,190190,695,183228,Married,Car,No
Self-Employed,Degree,47741,567,105756,Single,Medical,No
Business Owner,Masters,456495,521,148832,Divorced,Business,No
Unemployed,Masters,189626,686,110030,Divorced,Car,Yes
Self-Employed,Secondary,81790,677,21134,Married,House,Yes
Employed,Diploma,61486,495,66662,Married,House,Yes
Self-Employed,Secondary,249874,643,176562,Divorced,House,No
Business Owner,Degree,480188,304,156902,Married,Car,Yes
Unemployed,Degree,464540,663,72089,Single,Business,Yes
Employed,Masters,193644,329,60758,Married,Business,Yes
Self-Employed,Masters,462077,307,26510,Divorced,Business,No
Self-Employed,Degree,105361,757,112437,Single,Car,Yes
Self-Employed,Secondary,355549,843,184007,Single,Medical,No
Business Owner,Secondary,381313,426,89702,Married,Car,Yes
Unemployed,Diploma,420798,417,142795,Single,House,No
Unemployed,Secondary,235892,777,114582,Divorced,Business,Yes
Self-Employed,Diploma,194055,646,31001,Married,Medical,Yes
Unemployed,Diploma,234021,457,9840,Married,Business,Yes
Self-Employed,Degree,431183,769,99721,Married,House,Yes
Self-Employed,Masters,315381,450,129245,Divorced,House,No
Employed,Degree,369177,632,113039,Single,Medical,Yes
Employed,Degree,94631,403,48049,Divorced,Car,Yes
Business Owner,Degree,211162,358,185827,Married,School,Yes
Self-Employed,Degree,245612,451,120628,Single,House,Yes
Self-Employed,Degree,337814,441,183017,Single,School,Yes
Business Owner,Diploma,454427,614,145762,Single,Medical,No
Employed,Secondary,124923,606,164437,Divorced,Medical,Yes
Employed,Secondary,426466,700,177611,Divorced,Business,Yes
Unemployed,Masters,422274,421,59506,Divorced,Business,No
Business Owner,Secondary,282949,572,48181,Single,Car,Yes
Business Owner,Diploma,142300,472,106033,Married,House,No
Business Owner,Diploma,432280,446,147146,Married,Medical,No
Self-Employed,Masters,119451,332,4899,Married,Medical,Yes
Business Owner,Secondary,182735,494,150209,Married,House,No
Employed,Degree,443158,448,36252,Divorced,Medical,Yes
Business Owner,Secondary,430552,605,102649,Divorced,Car,Yes
Employed,Degree,448558,685,6674,Married,House,Yes
Self-Employed,Diploma,259988,473,142107,Divorced,House,No
Unemployed,Diploma,473899,607,49131,Single,School,Yes
Business Owner,Diploma,205882,817,60526,Married,House,Yes
Self-Employed,Secondary,100495,707,151667,Divorced,School,No
Self-Employed,Diploma,70157,666,37600,Married,House,Yes
Self-Employed,Degree,324868,653,48647,Married,School,Yes
Employed,Secondary,266392,419,119695,Divorced,School,No
Self-Employed,Diploma,84480,387,171999,Divorced,House,No
Self-Employed,Diploma,64453,766,191805,Single,Medical,No
Unemployed,Degree,379847,766,107240,Married,School,Yes
Employed,Secondary,172439,717,55138,Single,Car,Yes
Business Owner,Degree,110387,553,27267,Married,Medical,Yes
Unemployed,Diploma,114575,631,47195,Single,House,Yes
Employed,Diploma,65750,710,181340,Married,Business,Yes
Unemployed,Diploma,325600,349,87187,Single,Business,No
Business Owner,Secondary,372744,422,110440,Divorced,Medical,No
Business Owner,Masters,42491,546,38031,Married,Business,Yes
Unemployed,Masters,489043,430,59308,Divorced,House,No
Self-Employed,Masters,363592,685,161398,Married,House,No
Self-Employed,Diploma,390126,778,88451,Divorced,House,Yes
Employed,Diploma,198479,448,89189,Single,Medical,No
Business Owner,Secondary,206592,490,82152,Single,Medical,Yes
Employed,Secondary,128861,739,4816,Divorced,School,Yes
Self-Employed,Diploma,281958,812,36996,Single,Car,Yes
Employed,Masters,299381,788,29411,Single,School,Yes
Self-Employed,Secondary,478045,846,166941,Single,Medical,No
Self-Employed,Degree,404297,331,146787,Married,House,Yes
Unemployed,Diploma,81346,699,52976,Single,Medical,Yes
Unemployed,Secondary,125929,559,25084,Divorced,House,Yes
Business Owner,Masters,464377,736,31257,Divorced,House,Yes
Unemployed,Secondary,488101,745,191950,Divorced,Medical,No
Employed,Degree,103099,333,12287,Divorced,House,Yes
Business Owner,Secondary,268647,819,27748,Married,School,Yes
Employed,Degree,126257,669,184622,Single,Car,Yes
Employed,Masters,357086,793,93879,Married,Medical,Yes
Unemployed,Masters,412485,530,53618,Divorced,House,Yes
Unemployed,Secondary,323267,648,147043,Single,School,No
Unemployed,Masters,287750,760,194401,Single,School,No
Self-Employed,Degree,109583,376,48683,Married,Medical,Yes
Unemployed,Diploma,255043,547,78432,Divorced,Car,Yes
Self-Employed,Secondary,305678,503,173133,Single,Business,No
Employed,Secondary,186428,500,66496,Married,House,Yes
Unemployed,Secondary,335574,785,141740,Single,School,No
Self-Employed,Masters,206842,602,189460,Divorced,School,No
Employed,Secondary,310779,763,163298,Single,House,Yes
Business Owner,Secondary,35099,650,145931,Married,School,No
Self-Employed,Diploma,424364,474,52966,Married,Medical,Yes
Unemployed,Diploma,298005,577,144993,Married,Business,No
Unemployed,Diploma,358126,802,81473,Married,House,Yes
Self-Employed,Secondary,258881,360,90079,Married,Medical,Yes
Employed,Diploma,159171,716,104414,Divorced,House,Yes
Business Owner,Diploma,374184,838,199535,Single,House,No
Unemployed,Masters,121868,674,130029,Divorced,Business,No
Self-Employed,Secondary,46201,829,182745,Single,Medical,No
Unemployed,Secondary,112648,521,78574,Divorced,House,Yes
Business Owner,Masters,484532,307,61848,Divorced,Business,No
Business Owner,Degree,407990,434,157990,Married,Medical,Yes
Self-Employed,Masters,102280,334,58028,Single,School,No
Employed,Degree,288944,740,58051,Single,School,Yes
Business Owner,Secondary,392469,318,194579,Single,Medical,No
Business Owner,Diploma,254979,741,10650,Single,Business,Yes
Unemployed,Masters,237187,403,124625,Married,Car,No
Unemployed,Degree,128731,841,54057,Divorced,School,Yes
Business Owner,Degree,289986,633,99325,Single,House,Yes
Business Owner,Masters,255871,761,136497,Married,Car,No
Employed,Diploma,120306,309,84611,Divorced,House,No
Employed,Secondary,338072,374,83014,Single,House,No
Self-Employed,Masters,384795,323,116667,Divorced,Medical,No
Employed,Secondary,240864,835,62481,Single,Medical,Yes
Business Owner,Masters,126781,618,167971,Single,School,No
Employed,Masters,244799,505,99099,Married,Business,Yes
Business Owner,Diploma,434976,309,33151,Divorced,House,No
Employed,Degree,223849,447,41634,Married,Car,Yes
Unemployed,Degree,320916,744,198223,Single,School,Yes
Unemployed,Secondary,114116,342,50481,Divorced,School,No
Employed,Masters,434775,563,197440,Divorced,School,Yes
Unemployed,Secondary,193945,688,184494,Divorced,School,No
Employed,Degree,131593,538,178817,Married,House,Yes
Self-Employed,Diploma,476864,784,188346,Divorced,School,No
Unemployed,Diploma,34050,396,158443,Divorced,House,No
Employed,Secondary,309343,458,155818,Divorced,House,Yes
Self-Employed,Diploma,146915,620,129424,Single,Car,No
Self-Employed,Degree,135787,633,100540,Single,Car,Yes
Employed,Secondary,362325,389,138375,Married,Medical,No
Employed,Masters,104371,521,121108,Married,Business,Yes
Business Owner,Diploma,187393,477,130079,Married,Business,No
Employed,Masters,306041,786,137983,Married,Medical,Yes
Employed,Degree,346731,570,86999,Divorced,Medical,Yes
Employed,Secondary,263137,645,95226,Divorced,Car,Yes
Employed,Degree,423148,772,76591,Married,Business,Yes
Self-Employed,Masters,166741,774,133729,Divorced,Car,No
Business Owner,Secondary,88703,643,14689,Single,Business,Yes
Unemployed,Degree,41080,643,101120,Married,Car,No
Unemployed,Degree,145584,790,55949,Single,Business,Yes
Business Owner,Degree,464280,739,122122,Single,Medical,Yes
Business Owner,Diploma,41544,668,59066,Single,Business,No
Self-Employed,Secondary,202081,582,48837,Married,Car,Yes
Business Owner,Masters,325682,304,70778,Single,Medical,No
Employed,Secondary,179391,814,118279,Single,House,Yes
Business Owner,Degree,330768,715,14,Divorced,School,Yes
Business Owner,Diploma,374686,449,174597,Single,House,No
Self-Employed,Masters,384416,641,94265,Single,Medical,Yes
Business Owner,Masters,120393,336,159297,Married,Business,No
Unemployed,Diploma,386534,369,109575,Divorced,House,No
Business Owner,Degree,127844,653,92612,Divorced,House,Yes
Self-Employed,Diploma,72230,345,145811,Divorced,House,No
Self-Employed,Masters,257749,433,55587,Divorced,Business,No
Unemployed,Diploma,216585,631,121465,Single,School,No
Unemployed,Masters,66151,649,127931,Single,Car,No
Business Owner,Diploma,143150,654,125160,Married,Car,No
Employed,Degree,483831,444,129843,Divorced,Medical,Yes
Employed,Masters,296062,528,146158,Married,School,Yes
Unemployed,Degree,362041,433,199431,Single,Medical,Yes
Unemployed,Secondary,348918,654,2120,Married,Medical,Yes
Unemployed,Diploma,85318,383,128673,Married,Car,No
Business Owner,Masters,498919,581,63131,Divorced,School,Yes
Employed,Secondary,75146,300,94866,Married,Car,Yes
Business Owner,Diploma,291539,720,132121,Single,Car,No
Unemployed,Secondary,237294,552,82126,Married,School,Yes
Business Owner,Degree,307835,429,143788,Divorced,Business,Yes
Unemployed,Degree,125260,714,91099,Divorced,House,Yes
Unemployed,Secondary,93255,388,126973,Married,School,No
Business Owner,Diploma,194895,692,24975,Divorced,Business,Yes
Employed,Diploma,84720,662,71105,Divorced,School,Yes
Employed,Masters,264022,760,66801,Married,School,Yes
Self-Employed,Secondary,351598,330,169362,Single,School,No
Self-Employed,Masters,33169,513,21822,Single,Medical,No
Business Owner,Secondary,260612,705,106468,Married,Medical,Yes
Business Owner,Diploma,296062,557,56229,Divorced,Car,Yes
Employed,Secondary,167602,465,75526,Single,Medical,Yes
Unemployed,Degree,127693,399,2025,Single,Car,Yes
Employed,Masters,472383,559,9758,Divorced,House,Yes
Business Owner,Diploma,339413,406,51049,Single,Business,No
Self-Employed,Degree,408080,634,95301,Single,Business,Yes
Business Owner,Degree,203693,836,63782,Divorced,Medical,Yes
Unemployed,Masters,129322,513,121354,Single,Medical,No
Business Owner,Degree,302014,719,142280,Divorced,Medical,Yes
Self-Employed,Degree,113808,350,118604,Single,House,Yes
Unemployed,Diploma,312109,540,12889,Single,School,Yes
Unemployed,Secondary,293803,624,194667,Married,School,No
Self-Employed,Masters,469549,746,36966,Married,School,Yes
Unemployed,Secondary,37220,733,26630,Married,School,Yes
Employed,Secondary,306413,840,178547,Divorced,School,Yes
Unemployed,Diploma,153150,413,185154,Single,Business,No
Business Owner,Degree,393354,435,41715,Single,Medical,Yes
Employed,Secondary,114152,724,54353,Single,Business,Yes
Business Owner,Diploma,215201,353,137780,Married,Business,No
Employed,Degree,460133,312,36158,Divorced,House,Yes
Self-Employed,Secondary,317940,800,162207,Married,Car,No
Unemployed,Secondary,240123,506,11394,Married,House,Yes
Unemployed,Diploma,327562,616,96433,Divorced,Medical,Yes
Unemployed,Diploma,418486,820,16401,Married,Car,Yes
Business Owner,Diploma,394934,365,114137,Married,Car,No
Business Owner,Secondary,423142,602,182093,Divorced,Medical,No
Unemployed,Diploma,437807,414,62973,Divorced,Car,No
Self-Employed,Secondary,236188,342,142882,Single,Medical,No
Employed,Degree,213096,385,121576,Single,Business,Yes
Self-Employed,Masters,452628,312,15821,Married,Car,Yes
Self-Employed,Diploma,258286,506,189037,Married,House,No
Unemployed,Masters,399825,478,14327,Divorced,Medical,No
Unemployed,Diploma,231892,693,44386,Married,Business,Yes
Self-Employed,Degree,116129,334,181729,Divorced,House,Yes
Self-Employed,Degree,41465,681,31356,Married,School,Yes
Self-Employed,Diploma,306222,686,43171,Single,Business,Yes
Unemployed,Secondary,236304,369,154600,Married,Car,No
Business Owner,Secondary,128200,722,88866,Single,School,Yes
Employed,Secondary,315829,315,76357,Divorced,School,No
Unemployed,Diploma,412573,480,39600,Married,Car,Yes
Unemployed,Degree,384348,364,56863,Single,House,Yes
Business Owner,Diploma,63053,755,18063,Married,School,Yes
Employed,Masters,440328,684,78575,Married,Business,Yes
Employed,Masters,229808,623,89891,Divorced,Car,Yes
Self-Employed,Diploma,91016,559,111540,Married,Car,Yes
Employed,Diploma,342926,638,198400,Single,Car,Yes
Unemployed,Masters,227604,705,192854,Divorced,School,No
Self-Employed,Degree,465809,725,28612,Single,Medical,Yes
Business Owner,Secondary,223647,654,38858,Married,School,Yes
Employed,Diploma,402697,533,33790,Married,Car,Yes
Business Owner,Secondary,219689,467,8848,Married,Car,Yes
Business Owner,Masters,148973,573,153081,Divorced,Medical,No
Business Owner,Secondary,45847,470,167139,Single,Car,No
Business Owner,Secondary,119436,586,95582,Divorced,Business,Yes
Unemployed,Masters,354846,756,26310,Married,Medical,Yes
Self-Employed,Secondary,259738,333,89534,Single,Car,No
Self-Employed,Masters,385133,522,143811,Divorced,Business,No
Employed,Masters,442350,540,106788,Married,Car,Yes
Self-Employed,Degree,468511,641,176070,Married,School,Yes
Business Owner,Masters,446792,413,138696,Single,School,No
Self-Employed,Diploma,388368,606,197616,Married,Car,No
Unemployed,Secondary,136044,311,107384,Divorced,School,No
Employed,Diploma,209064,794,161633,Married,Business,Yes
Unemployed,Degree,227638,411,79033,Single,Business,Yes
Self-Employed,Diploma,251399,465,31225,Single,School,No
Business Owner,Diploma,324247,589,183501,Single,Car,No
Employed,Masters,255118,404,21898,Divorced,School,No
Unemployed,Degree,265599,650,42960,Married,School,Yes
Unemployed,Degree,376006,778,165257,Divorced,School,Yes
Employed,Masters,181330,694,114370,Divorced,School,Yes
Unemployed,Degree,251327,705,76171,Married,Medical,Yes
Unemployed,Masters,385087,327,76503,Married,Medical,Yes
Self-Employed,Secondary,213681,534,174555,Single,House,No
Self-Employed,Secondary,278261,750,26509,Divorced,School,Yes
Self-Employed,Masters,32636,425,141411,Single,Car,No
Self-Employed,Diploma,354820,502,155569,Divorced,Medical,No
Employed,Masters,151873,326,69699,Single,School,No
Self-Employed,Masters,253741,770,131109,Married,Business,No
Business Owner,Masters,184827,377,69525,Married,Car,Yes
Employed,Secondary,116651,420,152394,Divorced,Medical,No
Unemployed,Degree,344046,525,188248,Divorced,House,Yes
Business Owner,Secondary,120406,564,48125,Single,School,Yes
Business Owner,Degree,331400,439,194859,Single,House,Yes
Employed,Secondary,59128,773,196730,Married,Business,Yes
Self-Employed,Degree,438258,687,104653,Divorced,Car,Yes
Employed,Degree,118273,447,177557,Single,School,Yes
